,Wikipedia_features,wikipedia_featurs_No
437,mention,238.94998495402405
438,subject,238.50554704326393
439,bit,238.33497411800087
440,fuck you,236.77562442875774
441,book,236.64311015257036
442,etc,236.15539850517632
443,at least,235.72079114631066
444,evidence,235.4855092974623
445,please do,235.46672140695267
446,love,235.44354497589308
447,example,235.37722044954455
448,between,235.30196718560362
449,given,235.01632781211686
450,clear,234.70326610255728
451,stupid,234.52335047071085
452,to this,233.6115229857263
453,times,232.6919416004049
454,adding,230.93389935952698
455,always,230.84624043370718
456,did not,230.34295125622123
457,the way,230.13680373798846
458,care,229.88627443443553
459,but it,229.09466074543673
460,can you,228.9064083714504
461,left,228.89325062096736
462,through,228.82066014186657
463,part of,228.72738434200733
464,big,227.5993328559328
465,it would,227.0663786995663
466,to you,226.43271494608732
467,my talk,226.32176210374692
468,you should,226.1699444372097
469,makes,225.73191137845282
470,quite,225.47292180302463
471,important,225.12580988079745
472,written,224.61303168686882
473,for you,224.59054931683607
474,language,224.4319155899713
475,view,224.11645915056033
476,it not,223.97866763031888
477,write,222.9727343891103
478,call,222.28073471415703
479,further,222.1008822796243
480,version,221.71639843200575
481,website,221.57147963202158
482,term,221.5648388165813
483,won,221.17467136737164
484,be blocked,220.92024143467708
485,of your,220.74152621385886
486,is it,220.25720050831393
487,created,219.48337500093132
488,idea,218.09436327804153
489,facts,217.93968549088655
490,claim,217.89357149642143
491,the only,217.70340431426308
492,material,217.09242257342376
493,it to,216.8429805252378
494,if it,216.27707412018668
495,that he,215.30894778083265
496,not be,215.30833915135557
497,once,215.22712565900642
498,info,215.04850841842588
499,words,214.69478203983337
500,year,214.39361971545318
501,kind,213.99485720899068
502,anyway,213.5886460057101
503,ass,213.47817741560257
504,please stop,213.46824750369538
505,start,213.22615727589104
506,how to,212.06334863560602
507,don know,212.01857541121714
508,list of,211.62082935475712
509,changes,210.87481822920378
510,nice,210.45082553707329
511,notable,210.18230603513206
512,second,210.00474287129614
513,may be,209.9143675788241
514,what the,209.86680263914974
515,he was,209.86476126584077
516,research,209.75088093851193
517,as it,209.47944111200752
518,did you,209.47781261975888
519,review,208.913020321188
520,would like,208.7271209439525
521,states,208.15619338287127
522,american,207.77494775665886
523,means,207.40539591656133
524,stuff,207.03292372581873
525,that was,207.0275381567104
526,number,206.87290516634442
527,continue to,206.68807905326477
528,getting,206.50411153664334
529,and that,206.17742801005053
530,mentioned,205.91912311231545
531,have no,205.78063340908326
532,tag,205.49305322125662
533,to say,205.408811211703
534,considered,205.3618525300271
535,changed,205.25617867821788
536,of my,204.5520013578353
537,based,204.31970137976876
538,en,204.00965760765052
539,removing,203.9504292018859
540,whole,203.92584408866827
541,the talk,203.53258775418766
542,school,203.5202630312831
543,template,203.42533535340914
544,gay,201.64095361468935
545,you do,201.59408167598525
546,from editing,201.54490488095243
547,seen,201.47836608426456
548,cannot,201.13219390073814
549,everyone,200.84810589091407
550,guy,200.00952795544674
551,in my,199.92582723890067
552,yeah,199.9215821850082
553,picture,199.82207628091876
554,was not,199.76475966369696
555,page and,199.59943860042898
556,current,199.5159137233177
557,lol,199.2721108986094
558,think that,199.0618978565868
559,and not,198.85180193905197
560,talking,198.50102722834427
561,suggest,198.33938019212025
562,you would,197.88086111474075
563,such as,197.7546254852301
564,wikipedia is,197.58481342817643
565,im,197.5382753933945
566,you may,197.26821617559781
567,that this,197.02010987936868
568,encyclopedia,196.73814301028935
569,looks,196.64750163644868
570,bitch,196.63877274064814
571,the fact,196.58534446590502
572,on your,196.56162699532985
573,mind,196.51520365599325
574,known,196.40444741149525
575,course,196.38134520374354
576,three,196.38012871485898
577,address,195.6839415578746
578,consider,195.3922369669401
579,away,195.28746313785425
580,are the,195.05074225596553
581,sense,194.7267415615606
582,top,194.71802893006017
583,seems to,194.37816033077164
584,myself,194.33035922762411
585,think it,194.2591064098964
586,suck,194.2378123290868
587,attacks,193.5980479671135
588,less,193.5250833583995
589,regarding,193.1589481387379
590,truth,193.12572692429467
591,explain,192.26521977902493
592,move,192.06815973857994
593,next,191.52311898502384
594,all of,191.52279977141527
595,to add,191.31830361277596
596,am not,191.28764009527598
597,of wikipedia,190.92858974261742
598,wasn,190.54262745470066
599,possible,190.39213007933213
600,you and,189.86737862706227
601,at all,189.76447584888808
602,per,189.4844148715116
603,topic,189.3687574432363
604,but the,189.22097743756066
605,end,189.1150581901815
606,main,188.56860281025044
607,whether,187.86761980914906
608,several,187.84801615869276
609,you did,187.44083119758054
610,reverting,187.23485393528208
611,unblock,186.9596316526746
612,rules,186.67143806873426
613,not to,186.66293369849305
614,10,186.19549050689295
615,questions,185.90759954616524
616,statement,185.7803816875583
617,images,185.40545611449195
618,use the,185.3887001555178
619,for this,185.05081187112015
620,anti,184.94806669237565
621,and then,184.54865717237965
622,pretty,184.419748132
623,you ve,184.3729433634182
624,news,183.935121141748
625,listed,183.58433738830462
626,it has,183.5305802317826
627,to your,183.1291763311941
628,try to,182.40791347144955
629,2006,181.89787464862337
630,issues,181.8398806506587
631,each,181.7571167005797
632,blocked from,181.60222630417093
633,happy,181.48800091275587
634,include,181.31520304942092
635,some of,181.1677408469955
636,so you,181.04919360034177
637,guess,180.6645288075975
638,fair,180.25575528987838
639,days,180.10960326366828
640,see the,179.88874775020886
641,group,179.8786775018638
642,hell,179.5133658296613
643,official,179.31673856561517
644,because it,179.28960494473827
645,answer,179.26235109852104
646,looking,179.18872896625217
647,fact that,179.12958668287646
648,more than,178.6577526871346
649,if the,178.50800769149356
650,seem to,178.46636689264605
651,everything,178.45292183635001
652,report,178.4330580027455
653,deleting,178.2559100201421
654,self,177.59156462928212
655,we can,176.93244098568707
656,related,176.0612946531644
657,game,175.67995727627945
658,hate,175.45744984152952
659,obviously,175.45619188646774
660,like you,175.34455083066973
661,whatever,175.337162951147
662,following,175.17001240685235
663,notice,175.08559520569523
664,relevant,174.9897141233815
665,think you,174.9761708622328
666,exactly,174.92484995273986
667,it should,174.70208181925196
668,with this,174.46797727462265
669,the world,174.1235327558827
670,banned,173.40034565197112
671,you continue,172.94010764938682
672,needs to,172.85139093384257
673,wikipedia org,172.76286637493166
674,sentence,172.49441489627657
675,to edit,172.36427676694026
676,is this,171.96798641319606
677,the time,171.90741010353202
678,wrote,171.71110610339028
679,me to,171.316170342221
680,hard,171.29752528071916
681,provide,170.94579114372698
682,of course,170.92691236743818
683,line,170.87150687176896
684,response,170.62357881335365
685,have the,170.51579542336054
686,god,170.00870244803517
687,discuss,169.84418462995885
688,when you,169.7868722156594
689,like the,169.7817962748257
690,neutral,169.19178990762106
691,full,169.15608476868084
692,contributions,168.76065002593126
693,fine,168.6890948342285
694,that they,168.2453650847958
695,started,168.0406390374354
696,completely,168.00164000916152
697,instead of,167.96473088081555
698,the most,167.9424608205727
699,lot of,167.74020930703105
700,later,167.69127726912922
701,claims,167.44355901733758
702,including,167.30305763700406
703,en wikipedia,167.0404813602138
704,it seems,166.83324036630495
705,alone,166.67314235791633
706,category,166.47064198474544
707,of it,166.45003585096651
708,taken,166.41607839021597
709,vandalize,166.09578003691092
710,was the,166.03688678410856
711,2008,164.9638832648799
712,recent,164.91099910825972
713,and have,164.76210207440346
714,with you,164.64764895585304
715,rather than,164.3735531134948
716,wanted,164.29041838354925
717,unless,164.27980020032842
718,cheers,164.1891165073126
719,wish,164.0761633552971
720,general,164.03702984481387
721,you were,163.53063619952434
722,article and,163.13290718670808
723,high,163.02371483088316
724,common,162.9398396695985
725,although,162.76344624827314
726,country,162.73813686510445
727,today,162.54586070037013
728,we have,162.4732960908831
729,create,162.43164279973124
730,know what,162.0655893748617
731,know that,161.58647603950368
732,false,161.54080815465696
733,could be,161.53541300048877
734,kind of,161.26108110115845
735,single,161.16914577736048
736,order,161.01478201372922
737,but you,160.6268143192549
738,is in,160.19549627857208
739,faith,159.94854316066926
740,certainly,159.91031447776137
741,appropriate,159.76637252590308
742,especially,159.56677772331466
743,don think,159.5058370304298
744,agree with,159.33247352877623
745,about it,159.2856877504241
746,it and,159.2155321121702
747,names,159.0780876025048
748,read the,158.89951006954877
749,reply,158.7519890847934
750,posted,158.46950139500768
751,it in,158.42622254471033
752,that there,158.35333984608002
753,class,158.31258667101613
754,according,158.14167709770746
755,admins,157.93443936130714
756,to use,157.54892564489862
757,live,157.32822344146516
758,date,157.27331903001408
759,public,157.1717586481437
760,the one,157.02268025810636
761,asshole,156.90763924097217
762,you need,156.60581325095978
763,idiot,156.52781033771717
764,to my,156.24026990195546
765,the name,156.0595403843121
766,reading,155.81555426853961
767,of his,155.77350771139288
768,according to,155.71184801311298
769,haven,155.56785037450385
770,as an,155.55044336662732
771,came,155.52975190110618
772,should not,155.0120450408274
773,included,154.78502066239614
774,writing,154.77159536540935
775,do it,154.5146426573338
776,film,154.44742518364495
777,lead,154.30984140050464
778,ban,154.0290127132924
779,the discussion,153.93707168036929
780,dick,153.85254195205735
781,in your,153.73262198990284
782,2007,153.72455773846318
783,edited,153.328535032603
784,project,153.2316800360857
785,the word,153.21265887569956
786,20,153.09291959583405
787,due,152.96586591011572
788,back to,152.77180032754478
789,google,152.7663084702511
790,because you,152.69100773226288
791,regards,152.50463125214625
792,mr,152.4183280508773
793,hope you,152.2249782859843
794,based on,152.22025860585612
795,power,152.04473936062976
796,into the,152.02687662828586
797,needed,151.807175269472
798,seriously,151.60268966543904
799,copyright,151.38289447890475
800,guys,151.35624575670104
801,itself,150.9121530390102
802,media,150.75384532728242
803,link to,150.7467519907257
804,community,150.57206661251752
805,future,150.46329843485148
806,able,150.28179270001309
807,email,149.98563758462274
808,stay,149.64920132122194
809,currently,149.57512304826594
810,personal attacks,149.51907221942753
811,for deletion,149.42561395311273
812,ago,149.09793657636965
813,free to,148.98624016304734
814,the subject,148.93883117293305
815,black,148.51039658867546
816,the last,148.39453524652453
817,your own,148.33625616896066
818,white,148.28906464099552
819,in fact,148.05213160548143
820,and is,147.70211608714322
821,is to,147.59542734815486
822,be the,147.56212662104613
823,involved,147.4790939534062
824,will not,147.3924268034722
825,to know,147.22179714050765
826,npov,147.20536655049506
827,therefore,147.17325996351246
828,let me,147.14328257776998
829,interest,147.13842172393873
830,of them,147.07379169492404
831,would have,146.97790410305632
832,administrator,146.8263834585987
833,talking about,146.66156479870455
834,do so,146.64244681090435
835,interested,146.6200061951084
836,my edits,146.51988796207047
837,british,146.38727615303947
838,he has,146.10643803166298
839,appreciate,145.5070087659567
840,there was,145.25024133208487
841,able to,145.15404772128932
842,aren,145.0686989365135
843,personal attack,144.9743172347009
844,to find,144.46817439202835
845,not sure,144.21945358667938
846,do with,144.16897320045788
847,remember,144.07458514887597
848,have any,143.68242662352895
849,org wiki,143.55161032633671
850,or not,143.4886364880441
851,entry,143.2990092668937
852,shouldn,143.25013088192225
853,nor,143.06447841217002
854,nonsense,143.017433614159
855,learn,142.94089145939014
856,past,142.88073911998976
857,working,142.6624613941063
858,is very,142.66069122046102
859,blocking,142.54908168043383
860,political,142.46395516595538
861,job,142.336394744874
862,party,142.21111783298534
863,me and,141.9251393081274
864,http en,141.92432795966207
865,with your,141.88033144113956
866,interesting,141.75985753530327
867,reasons,141.51302489087513
868,no one,141.23626662859985
869,during,141.12096993337377
870,within,140.8896910844047
871,rule,140.60455611253454
872,soon,140.58432542946832
873,asked,140.2754001311184
874,books,140.23126822013873
875,faggot,140.14828101159677
876,why you,140.131685435599
877,proof,140.11847832551447
878,12,140.0306524083194
879,tried,139.96282808580116
880,quote,139.88981175627322
881,specific,139.7561690961241
882,we are,139.74320124550178
883,of that,139.7226361593792
884,indeed,139.61051219247088
885,say that,139.4546973778737
886,of you,138.97974839389465
887,user page,138.79613840394853
888,dispute,138.7884599310737
889,you like,138.78442283392457
890,biased,138.71313102504817
891,city,138.64852846985764
892,appears,138.6448805618221
893,the best,138.57552589103827
894,about this,138.35707869968604
895,bias,138.24581847792
896,otherwise,138.0496578060219
897,it will,137.9581727674231
898,calling,137.84685605928217
899,wouldn,137.69346196094455
900,death,137.51751934646583
901,is there,137.40635513126682
902,middle,137.38683532805976
903,argument,137.090311102295
904,piece,137.08606076589427
905,the edit,137.02705634405683
906,noticed,136.79004578276437
907,speedy,136.7371398834852
908,and will,136.60253721287194
909,because of,136.6016458341054
910,major,136.53811350559786
911,go to,136.50018872544143
912,cunt,136.4578903094167
913,article on,136.28947617359097
914,summary,136.0417535402683
915,that would,135.99024545287344
916,took,135.93682893871267
917,john,135.7344334092494
918,the main,135.7135578955394
919,government,135.7028012143001
920,they were,135.6118918167646
921,not have,135.55250325038554
922,obvious,135.45149211815303
923,taking,135.40341923406382
924,shows,135.28509800912644
925,form,135.182495520304
926,must be,134.96500303336518
927,page is,134.90796233657224
928,saw,134.6143305056082
929,side,134.6108117759588
930,might be,134.4696060775782
931,large,134.4256250075992
932,11,134.2623819856022
933,the truth,134.13498754693074
934,friend,133.99744577811632
935,wikiproject,133.84616965143184
936,could you,133.78377804494093
937,okay,133.71800661380192
938,sourced,133.62192505017762
939,you could,133.3006812295186
940,ve been,133.29206817785519
941,happened,133.20366288275667
942,to it,132.78001623318045
943,published,132.64270615246036
944,similar,132.47637588964923
945,the image,132.36346195488767
946,is just,132.2994406495186
947,you please,132.2013725966579
948,background,132.16378935997372
949,tell me,132.14608110981166
950,it as,132.07208645305153
951,internet,132.04250824577795
952,family,132.0076999908625
953,who is,131.88391366068817
954,told,131.84679292678493
955,become,131.8417056504858
956,sandbox,131.78277572330114
957,sign,131.68501086191236
958,entire,131.51349080224918
959,united,131.5085011007725
960,don you,131.3865222193124
961,allowed,131.2070099031927
962,so that,130.9600643969069
963,cited,130.68485899133188
964,paragraph,130.43896250137178
965,people who,130.2711069133943
966,simple,130.22940324507474
967,think the,130.18722132233106
968,in an,130.11308334498244
969,small,130.04927099077693
970,feel free,130.0320438328577
971,the new,129.73228501517897
972,wait,129.679821988934
973,in any,129.62366837656845
974,provided,129.5488824393013
975,the wikipedia,129.54865980798374
976,heard,129.4812311776538
977,stated,129.4721778963901
978,don have,129.46461222323776
979,four,129.38702727366314
980,and if,129.37222150621434
981,most of,129.33590984032935
982,citation,129.28395401016
983,search,129.1410701704062
984,15,129.12847879077256
985,over the,129.1245315274313
986,present,128.99198138514336
987,number of,128.88054703223443
988,due to,128.80410005995904
989,guidelines,128.79113289723182
990,problems,128.57421487679267
991,sock,128.5714150181638
992,open,128.54125414444584
993,almost,128.4510854651632
994,you just,128.1881092272271
995,useful,128.14001667646195
996,cause,128.1231005869642
997,to go,127.99708288531666
998,block me,127.90600944816318
999,system,127.8966094004623
1000,for that,127.87215820836748
1001,moved,127.84821602012917
1002,align,127.69610388512062
1003,music,127.38081507557273
1004,point of,127.33616486843864
1005,100,127.14773844366877
1006,notability,126.89983052750114
1007,way to,126.89538287216517
1008,story,126.69157333686734
1009,in that,126.43134160317459
1010,to remove,126.37712622131102
1011,head,126.35914750862217
1012,sort,126.29427135806245
1013,national,126.23758017994841
1014,that have,126.20020852594013
1015,knowledge,126.04185202003129
1016,serious,125.97767744104436
1017,play,125.70093814509545
1018,the section,125.53374410652879
1019,file,125.4385382354418
1020,dead,125.26794702048211
1021,under the,125.23106996794395
1022,vandal,125.18802223316884
1023,appear,125.07722129118447
1024,valid,124.87081744081382
1025,the original,124.81228875909542
1026,history of,124.76669544843983
1027,2009,124.74465314219294
1028,hours,124.6980264328361
1029,longer,124.56851993417298
1030,jpg,124.41957381929218
1031,actual,124.37937835371137
1032,at wikipedia,124.2443729643954
1033,disagree,124.11840176580388
1034,it the,124.02535593103018
1035,up the,124.00376541774041
1036,wanted to,123.84968995136562
1037,wow,123.71152751014124
1038,deal,123.70734389350906
1039,the source,123.70512691111018
1040,follow,123.69661880732791
1041,for example,123.59549963838627
1042,the term,123.43026262309026
1043,24,123.4278323092048
1044,week,123.26438819248334
1045,along,123.25426255264293
1046,you might,123.07586848482447
1047,to take,123.01083500343485
1048,actions,122.9428147691637
1049,2010,122.93049200578906
1050,policies,122.79400560469735
1051,we should,122.7593621761903
1052,watch,122.69002607885145
1053,any other,122.6625821480056
1054,why do,122.62407251137107
1055,definition,122.58062646006877
1056,the list,122.55606234833996
1057,the whole,122.49975718429432
1058,be deleted,122.47443005654583
1059,fix,122.43754063815496
1060,but not,122.2563403649647
1061,they have,122.21888139909643
1062,short,122.21546990175747
1063,who are,122.1534055728667
1064,administrators,122.15040569395578
1065,the information,122.13489481101543
1066,my page,122.08169472583043
1067,the current,122.01883663928565
1068,of an,121.99296435668039
1069,here and,121.84234800752074
1070,often,121.83612494410197
1071,july,121.73114780363369
1072,hand,121.63666296182886
1073,if they,121.51286105763273
1074,use of,121.46257294390148
1075,you ll,121.45005870106633
1076,particular,121.35770506352623
1077,000,121.167719969286
1078,is your,120.86508945780557
1079,that are,120.84236058766109
1080,views,120.82311956807776
1081,proper,120.55380931223321
