,kaggle_features,kaggle_featurs_No
691,dog,7.232702774983223
692,trolls,7.210239763881344
693,yo,7.198294201287082
694,is you,7.186307919605708
695,question,7.179040672842365
696,aint,7.164067281616969
697,movie,7.155932531127076
698,wonder,7.155424794738766
699,the one,7.148171943437245
700,people like,7.14487484544355
701,you on,7.144792565282445
702,lebron,7.120148163251687
703,as well,7.118427888973471
704,on here,7.1131098797937
705,article,7.109272314249175
706,dad,7.1069881598063365
707,bill,7.1018741364166145
708,in this,7.101660589650556
709,your point,7.093156238571768
710,you ve,7.088770074456764
711,rock,7.088608070873482
712,bullshit,7.081407044638901
713,we have,7.073480407247463
714,cant,7.063245961792149
715,shut up,7.057788477870126
716,the best,7.038163768787648
717,case,7.035255490666522
718,forget,7.026863093046547
719,try to,7.019794459078785
720,thanks for,6.995472712495729
721,told,6.994604021633917
722,maybe you,6.957806419590775
723,10,6.947087192464222
724,you go,6.945637938778558
725,don get,6.935170763008524
726,re just,6.929252548387404
727,by your,6.898644492347293
728,if it,6.895887777964998
729,government,6.877739209380566
730,ll be,6.872012796053939
731,like it,6.870157394272342
732,wanted,6.868508986881946
733,chance,6.86479759308488
734,state,6.855536873017886
735,there are,6.844126051496191
736,easy,6.840160203516831
737,turd,6.823899167374069
738,non,6.817228016229315
739,power,6.810264577007314
740,you stupid,6.809320467813579
741,about you,6.807167323426352
742,law,6.791819187731388
743,your name,6.789132866580429
744,cool,6.78822260559978
745,the time,6.784039701021716
746,it just,6.782285906600031
747,music,6.7800124438297455
748,the truth,6.778076938120313
749,be the,6.76354811491375
750,we re,6.7531991097771185
751,that he,6.752249412726112
752,half,6.741964751638863
753,you xa0,6.741743500956694
754,season,6.73965603254506
755,respect,6.739450284885374
756,war,6.717366435492817
757,damn you,6.715551437128074
758,about your,6.708143202463257
759,come on,6.705126079782611
760,up your,6.703420806834976
761,ignorance,6.698395840496444
762,you in,6.691852508456286
763,buy,6.676845514047615
764,like this,6.664556922389018
765,are all,6.657782920120701
766,wanna,6.654855265711982
767,means,6.652683349775111
768,learn,6.641922558599684
769,went,6.6245737454527385
770,blame,6.623341517442038
771,came,6.622524742027699
772,if he,6.620176804454369
773,to know,6.612117219670725
774,is no,6.604084926042947
775,that was,6.600562369546529
776,using,6.588422160349432
777,whatever,6.583455134680577
778,than you,6.567281920511083
779,proof,6.565151809123755
780,and that,6.552693452538817
781,evil,6.534035268746889
782,they have,6.533320342824584
783,know that,6.526470261614195
784,red,6.525763579561647
785,check,6.519668958519503
786,certainly,6.504646401706759
787,truly,6.501942172915266
788,coward,6.50110812009859
789,people are,6.491277326426452
790,and then,6.489663624439103
791,wants,6.479370281775834
792,full of,6.475738833704623
793,the first,6.471202299020423
794,nbsp,6.459159055852357
795,to give,6.453948234705467
796,you idiot,6.448686315040753
797,straight,6.447739175550295
798,expect,6.44638315859078
799,brain,6.440461671368644
800,knows,6.436778512443895
801,up the,6.433264274448682
802,close,6.43289999155398
803,seems,6.426582782015606
804,gotta,6.421709904314039
805,the way,6.411889842403905
806,are your,6.409684180057094
807,how do,6.408402268436323
808,bro,6.396858209844101
809,at all,6.3774127298939645
810,balls,6.3573782299516495
811,shot,6.356809895977006
812,picture,6.35601428010631
813,born,6.349533549004235
814,the most,6.3493876507333225
815,history,6.342521794105643
816,sucks,6.34115204409412
817,you moron,6.332923948989649
818,it will,6.329201174402543
819,it up,6.325152986035718
820,site,6.318296485928781
821,www,6.314979955927136
822,morons,6.305139030650589
823,nasty,6.29932128827981
824,different,6.2773994556923665
825,nhttp,6.2730381578035965
826,right now,6.269597270206439
827,part of,6.268218886567347
828,if they,6.244104077309252
829,should have,6.2197799638372055
830,bed,6.219508162091981
831,comes,6.217011656448467
832,on it,6.205002582008671
833,the white,6.202412992697579
834,say that,6.198354221253048
835,lame,6.193734595625298
836,amazing,6.193365769894689
837,three,6.187400603637225
838,trolling,6.162169233274391
839,so much,6.156152417339396
840,the heat,6.155097467511591
841,of that,6.152329430767698
842,drunk,6.147071117412371
843,were you,6.135828811184605
844,are stupid,6.130477845498342
845,way to,6.127766147969304
846,who the,6.124367986310967
847,tax,6.115208619038797
848,because of,6.111318930623954
849,you for,6.101196535836212
850,ain,6.098396757786957
851,giving,6.096001474851724
852,fight,6.093749875625585
853,become,6.086663472804013
854,cute,6.079873177014312
855,lies,6.073138474300365
856,party,6.064930476204538
857,are too,6.059390177472612
858,especially,6.059110838988919
859,how are,6.050556494085498
860,all your,6.04184826085046
861,fucked up,6.037963795197027
862,no one,6.023824308482865
863,pick,6.021585279260765
864,na,6.019309276720565
865,is an,6.009988692524908
866,list,6.00971138212503
867,2012,6.00427448313166
868,do it,5.996964223373261
869,nwhat,5.993294593188995
870,doubt,5.98875537463979
871,reply,5.979173065155965
872,you seem,5.9767579196018055
873,than the,5.971309832657916
874,days,5.968426705276578
875,for that,5.966340086011155
876,fucker,5.963639788203528
877,joke,5.962606393713416
878,is going,5.959450570310917
879,computer,5.955348056210259
880,and go,5.954040224300682
881,support,5.9512659535380505
882,quite,5.934921121395607
883,blog,5.927322405042701
884,xa0and,5.904505875325646
885,lets,5.9003428987369295
886,lying,5.889623454056679
887,kidding me,5.884962515993017
888,up and,5.878674343161284
889,of all,5.873996400053009
890,waiting,5.872124985350558
891,grow,5.8664610778782
892,pig,5.865212036309806
893,hair,5.865053872602185
894,gives,5.864235282549369
895,are wrong,5.863493888812199
896,parents,5.8618058715538375
897,not even,5.860957017351949
898,the hell,5.8604093159561605
899,and they,5.858359077901192
900,shows,5.8577831401910245
901,into the,5.855463138722689
902,we can,5.853356852541296
903,second,5.8525162288005195
904,how many,5.845562941463008
905,you fucking,5.833177275255322
906,when he,5.825469299666334
907,perfect,5.821247361364208
908,with that,5.81137655741664
909,they can,5.809617594772275
910,star,5.770119497322798
911,heard,5.768584764485539
912,are one,5.76420646058222
913,rich,5.75318946469018
914,color,5.750502034287959
915,stfu,5.747222788762771
916,when they,5.7451620813957485
917,or you,5.744687770187422
918,you look,5.738259600011967
919,all you,5.728655547226028
920,may be,5.722661532890617
921,that shit,5.721426810498431
922,go away,5.713277615404975
923,up to,5.712140473327369
924,wasn,5.709817662259604
925,working,5.701195905638076
926,none,5.696180874236788
927,some of,5.694322371429425
928,baby,5.69269111084675
929,bag,5.689526837598297
930,fine,5.688764774499173
931,language,5.676780568314798
932,lot of,5.675784384937499
933,top,5.669224612069407
934,instead,5.65729817500687
935,idiotic,5.650297025140298
936,let me,5.648796977667079
937,the last,5.640946993910922
938,deal,5.639010761897611
939,don think,5.632217432163701
940,100,5.620042114271218
941,you be,5.610357232587198
942,where you,5.605295219828806
943,when the,5.603319994057682
944,gave,5.603224970974909
945,fox,5.590254105979797
946,makes you,5.587576112167967
947,nope,5.585767130425146
948,xa0 it,5.585022250572663
949,completely,5.582543956406612
950,of his,5.580871208035342
951,the game,5.57965713933745
952,which is,5.56947306887767
953,apparently,5.56269946909579
954,the whole,5.559390409110432
955,are going,5.556799150406491
956,un,5.536576582511688
957,deserve,5.536545250333512
958,paul,5.530806873368259
959,like to,5.522485229824006
960,and not,5.521280765307913
961,totally,5.520372090246375
962,that why,5.5136584207571095
963,tv,5.512662955542917
964,you going,5.5114773199555
965,don understand,5.51096178457915
966,acting,5.506291040037409
967,apple,5.500549381208937
968,typical,5.494418734266155
969,she is,5.485184395735087
970,you dumb,5.481879634910541
971,line,5.479850266735724
972,brother,5.477971175356084
973,short,5.477202387557324
974,if the,5.467810476812855
975,tough,5.466353284188141
976,liar,5.462212662503352
977,it you,5.460560294862637
978,your life,5.440585683958643
979,room,5.419866256009798
980,of them,5.419794759225645
981,your mouth,5.419108563188287
982,of this,5.416896106299826
983,smoking,5.411599745606854
984,on that,5.407024416153839
985,mr,5.404662668920729
986,it would,5.403617982798036
987,that it,5.394727888999551
988,not to,5.392654023175999
989,in my,5.389830300216808
990,it and,5.388268692213507
991,stuff,5.3854282404696825
992,the fact,5.380505564919048
993,tried,5.36916771368305
994,punk,5.366837169736802
995,tonight,5.358218195629472
996,que,5.355823831309649
997,on you,5.352297788010037
998,clueless,5.351792540901407
999,re moron,5.348902334955711
1000,bigot,5.345641497840901
1001,before you,5.344152222821117
1002,almost,5.340023337132304
1003,re the,5.3336904756733885
1004,death,5.3327221014296695
1005,starting,5.331926124947876
1006,absolutely,5.33143699060547
1007,able,5.329932201113792
1008,are such,5.326023859712686
1009,did not,5.324990689039453
1010,most of,5.323410549714021
1011,you read,5.3206746012511035
1012,glad,5.317065483946913
1013,man you,5.316267477395602
1014,ones,5.315727744580045
1015,taking,5.3116593659486195
1016,they don,5.310690435932722
1017,anyway,5.3090493516331625
1018,you said,5.30824366252218
1019,xa0the,5.305934893237979
1020,of my,5.302621095737078
1021,your posts,5.298071141850158
1022,are still,5.296491943233873
1023,indeed,5.295850725234749
1024,themselves,5.285512270000251
1025,used to,5.283338503635129
1026,normal,5.276079194353103
1027,bunch,5.275032597153773
1028,israel,5.274446213017267
1029,bring,5.273482662735323
1030,and get,5.272261364110907
1031,sister,5.2718739714097955
1032,jobs,5.271021985702742
1033,you see,5.265756414496922
1034,do the,5.258862473378315
1035,up you,5.251600129269358
1036,because they,5.251515787652714
1037,car,5.250027797352216
1038,video,5.2428549372761974
1039,okay,5.237184668492348
1040,ass nigga,5.2348196447645625
1041,throw,5.23456132390516
1042,choice,5.234440813530816
1043,http,5.233660303070168
1044,are in,5.233084470862921
1045,seem to,5.227284467713657
1046,winning,5.22714700464963
1047,worry,5.224727322820146
1048,not that,5.222894545811847
1049,it to,5.219253828473444
1050,muslim,5.212400527400259
1051,definitely,5.208122365198179
1052,is so,5.206088696379165
1053,screw,5.20422384077648
1054,able to,5.19941808124891
1055,they were,5.198967998127454
1056,saw,5.195025794562727
1057,don like,5.190651199501363
1058,and will,5.190034054671156
1059,garbage,5.189962675351365
1060,issues,5.188706300269451
1061,see you,5.186113569279853
1062,fucks,5.174764702972259
1063,the internet,5.17021086268571
1064,drugs,5.1692259624277215
1065,your face,5.1674591337625655
1066,as fuck,5.158305605284574
1067,bet you,5.154075644212383
1068,sit,5.153336811926189
1069,happened,5.146449041505527
1070,be an,5.144732726816382
1071,and he,5.143962293485415
